Code département,Département,Code commune,Commune,Inscrits,Votants,Exprimés,Extrême gauche,Parti communiste,Parti socialiste,Mouvement des radicaux de gauche,Divers gauche,Ecolo,Régionaliste,Divers droite,Union pour la Démocratie Française,Rassemblement pour la République,Extrême droite
01,AIN,4,AMBERIEU-EN-BUGEY,6306,3812,3720,0,534,1614,0,0,0,0,0,0,1156,416
01,AIN,33,BELLEGARDE-SUR-VALSERINE,5985,3434,3383,0,397,1151,0,0,0,0,0,1469,0,366
01,AIN,53,BOURG-EN-BRESSE,22072,13372,13215,437,746,0,5256,0,0,0,0,0,5685,1091
01,AIN,283,OYONNAX,10804,6490,6401,0,789,1638,0,0,0,0,0,0,3148,826
02,AISNE,168,CHATEAU-THIERRY,8756,5378,5289,0,749,1780,0,0,0,0,0,2387,0,373
02,AISNE,173,CHAUNY,8458,5058,4914,0,1251,1672,0,0,0,0,0,0,1396,595
02,AISNE,381,HIRSON,7475,4702,4526,0,680,2355,0,0,0,0,0,1104,0,387
02,AISNE,408,LAON,16427,10594,10374,0,1003,4274,0,0,0,0,0,0,4553,544
02,AISNE,691,SAINT-QUENTIN,37411,24595,24050,0,7516,6721,0,0,0,0,1887,5722,0,2204
02,AISNE,722,SOISSONS,17102,10430,10217,0,953,5151,0,0,0,0,0,0,3076,1037
02,AISNE,738,TERGNIER,8535,5482,5368,0,1261,2624,0,0,0,0,0,0,1002,481
03,ALLIER,82,COMMENTRY,6131,3951,3843,0,1415,1270,0,0,0,0,1009,0,0,149
03,ALLIER,95,CUSSET,9998,6709,6515,0,1614,1854,0,0,0,0,0,2607,0,440
03,ALLIER,185,MONTLUCON,31602,21296,20786,0,8332,5340,0,0,0,0,6048,0,0,1066
03,ALLIER,190,MOULINS,14513,9579,9405,0,1419,2909,0,0,0,0,0,0,4491,586
03,ALLIER,310,VICHY,19844,12967,12776,0,808,3430,0,0,0,0,0,7509,0,1029
03,ALLIER,321,YZEURE,9470,6388,6221,0,1217,2322,0,0,0,0,0,0,2386,296
