Code département,Département,Code commune,Commune,Inscrits,Votants,Exprimés,Extrême gauche,Parti communiste,Parti socialiste,Divers gauche,Radicaux de gauche,Les Verts,Génération Ecologie,Union pour la Démocratie Française,Rassemblement pour la République,Divers droite,Front National,Extrême droite,Régionaliste,Divers
1,AIN,4,AMBERIEU-EN-BUGEY,6642,4120,3874,443,0,685,0,0,581,0,0,1576,0,589,0,0,0
1,AIN,33,BELLEGARDE-SUR-VALSERINE,5945,3567,3402,372,0,606,0,0,0,292,1527,0,0,495,0,0,110
1,AIN,53,BOURG-EN-BRESSE,21970,14220,13516,654,436,0,0,2976,1598,0,0,5939,0,1527,0,0,386
1,AIN,283,OYONNAX,10805,6884,6632,623,0,707,0,0,620,0,0,3416,0,1266,0,0,0
2,AISNE,168,CHATEAU-THIERRY,9303,6055,5821,550,226,1359,0,0,0,331,2501,0,84,624,0,0,146
2,AISNE,173,CHAUNY,8297,5266,4936,484,199,1050,0,0,339,0,1489,0,296,872,0,0,207
2,AISNE,381,HIRSON,7350,4941,4712,532,0,1758,0,0,207,0,0,1673,80,355,0,0,107
2,AISNE,408,LAON,16368,11021,10527,581,248,2990,0,0,666,0,0,4441,142,1071,0,0,388
2,AISNE,691,SAINT-QUENTIN,37279,25369,24096,5213,799,2041,874,0,0,1171,8892,0,1372,2678,0,0,1056
2,AISNE,722,SOISSONS,17389,10984,10531,769,264,2886,0,0,627,0,3753,0,346,1520,0,0,366
2,AISNE,738,TERGNIER,10622,7168,6703,1173,200,2367,0,0,361,0,1283,0,170,846,0,0,303
3,ALLIER,95,CUSSET,10081,6803,6329,1561,0,0,1108,65,367,0,2010,0,219,791,0,0,208
3,ALLIER,185,MONTLUCON,30449,20400,19307,6368,296,2443,0,0,0,1280,6515,0,0,1506,0,0,899
3,ALLIER,190,MOULINS,14600,9308,8842,1299,0,1721,0,0,0,679,1324,2751,0,822,0,0,246
3,ALLIER,310,VICHY,18831,12307,11750,846,0,0,1659,118,592,0,5530,0,914,1774,0,0,317
3,ALLIER,321,YZEURE,9603,6646,6248,998,0,1666,0,0,0,500,904,1551,0,460,0,0,169
4,ALPES-DE-HAUTE-PROVENCE,70,DIGNE-LES-BAINS,10763,7474,6975,589,0,1647,0,0,1016,0,0,2778,0,767,0,0,178
4,ALPES-DE-HAUTE-PROVENCE,112,MANOSQUE,13122,9087,8553,819,0,839,0,1212,0,734,0,3085,0,1559,0,0,305
5,HAUTES-ALPES,23,BRIANCON,6774,4461,4183,388,0,412,0,0,391,318,0,2151,0,404,0,0,119
5,HAUTES-ALPES,61,GAP,23226,15748,14880,863,25,3889,0,0,1214,0,3355,3475,0,1500,0,0,559
