Code département,Département,Code commune,Commune,Inscrits,Votants,Exprimés,Parti communiste,Extrême gauche,Parti socialiste,Mouvement des Radicaux de gauche,Divers gauche,Ecolo,Union pour la Démocratie Française,Rassemblement pour la République,Divers droite,UPF - divers droite,Front National,Extrême droite,Divers
01,AIN,4,AMBERIEU-EN-BUGEY,6642,3595,2782,0,0,0,0,0,0,0,1991,0,791,0,0,0
01,AIN,53,BOURG-EN-BRESSE,21970,14064,13199,0,0,0,0,5694,0,0,7505,0,0,0,0,0
01,AIN,283,OYONNAX,10802,6372,5565,0,0,0,0,0,0,0,3966,0,1599,0,0,0
02,AISNE,168,CHATEAU-THIERRY,9302,6180,5709,0,0,2215,0,0,0,3494,0,0,0,0,0,0
02,AISNE,173,CHAUNY,8298,5470,5074,0,0,2442,0,0,0,2632,0,0,0,0,0,0
02,AISNE,381,HIRSON,7344,5257,5058,0,0,2818,0,0,0,0,2240,0,0,0,0,0
02,AISNE,408,LAON,16368,11488,10773,0,0,4970,0,0,0,0,5803,0,0,0,0,0
02,AISNE,691,SAINT-QUENTIN,37279,27988,25995,11566,0,0,0,0,0,14429,0,0,0,0,0,0
02,AISNE,722,SOISSONS,17389,11585,10988,0,0,4707,0,0,0,6281,0,0,0,0,0,0
02,AISNE,738,TERGNIER,10624,7287,6768,0,0,4412,0,0,0,2356,0,0,0,0,0,0
03,ALLIER,95,CUSSET,10081,6782,6100,0,0,0,3142,0,0,2958,0,0,0,0,0,0
03,ALLIER,185,MONTLUCON,30449,21979,20659,9656,0,0,0,0,0,11003,0,0,0,0,0,0
03,ALLIER,190,MOULINS,14600,9621,9005,0,0,3890,0,0,0,0,5115,0,0,0,0,0
03,ALLIER,310,VICHY,18831,12226,11236,0,0,0,3926,0,0,7310,0,0,0,0,0,0
03,ALLIER,321,YZEURE,9603,6908,6424,0,0,3395,0,0,0,0,3029,0,0,0,0,0
04,ALPES-DE-HAUTE-PROVENCE,70,DIGNE-LES-BAINS,10763,7653,6996,0,0,3204,0,0,0,0,3792,0,0,0,0,0
04,ALPES-DE-HAUTE-PROVENCE,112,MANOSQUE,13122,8505,6635,0,0,0,0,0,0,0,4475,0,2160,0,0,0
05,HAUTES-ALPES,61,GAP,23226,16425,15407,0,0,7493,0,0,0,0,7914,0,0,0,0,0
06,ALPES-MARITIMES,4,ANTIBES,46498,29323,26148,0,0,0,0,0,0,16661,0,0,9487,0,0,0
06,ALPES-MARITIMES,12,BEAUSOLEIL,9196,5214,4577,0,0,0,0,0,0,1172,2214,0,1191,0,0,0
06,ALPES-MARITIMES,27,CAGNES-SUR-MER,27366,17599,15446,0,0,0,0,0,0,0,10274,0,5172,0,0,0
06,ALPES-MARITIMES,29,CANNES,47696,33737,31434,0,0,0,0,0,0,31434,0,0,0,0,0,0
06,ALPES-MARITIMES,30,LE CANNET,27055,16386,14321,0,0,0,0,0,0,0,9515,0,4806,0,0,0
06,ALPES-MARITIMES,33,CARROS,5894,3513,2904,0,0,0,0,0,0,0,1674,0,1230,0,0,0
06,ALPES-MARITIMES,69,GRASSE,24527,15047,12570,0,0,0,0,0,0,0,8908,0,3662,0,0,0
06,ALPES-MARITIMES,79,MANDELIEU-LA-NAPOULE,11215,8617,7953,0,0,0,0,0,0,7953,0,0,0,0,0,0
06,ALPES-MARITIMES,83,MENTON,19916,13850,12820,0,0,0,0,0,0,4900,5197,0,2723,0,0,0
06,ALPES-MARITIMES,85,MOUGINS,9320,6012,5353,0,0,0,0,0,0,0,3865,0,1488,0,0,0
06,ALPES-MARITIMES,88,NICE,232267,144457,127456,0,0,0,0,0,0,41966,30163,0,55327,0,0,0
06,ALPES-MARITIMES,104,ROQUEBRUNE-CAP-MARTIN,9039,5531,5047,0,0,0,0,0,0,1464,2307,0,1276,0,0,0
06,ALPES-MARITIMES,123,SAINT-LAURENT-DU-VAR,16613,10683,9319,0,0,0,0,0,0,0,5991,0,3328,0,0,0
