Code département,Département,Code commune,Commune,Inscrits,Votants,Exprimés,Extrême gauche,Parti communiste,Parti socialiste,Radicaux de gauche,Divers gauche,Ecolo,Divers,Rassemblement pour la République,Union pour la Démocratie Française,Divers droite,Front National,Extrême droite
01,AIN,4,AMBERIEU-EN-BUGEY,6793,4645,4497,0,0,2121,0,0,0,0,1740,0,0,636,0
01,AIN,33,BELLEGARDE-SUR-VALSERINE,5981,3725,3558,0,0,0,0,0,1744,0,0,1814,0,0,0
01,AIN,53,BOURG-EN-BRESSE,21936,14982,14203,0,0,7406,0,0,0,0,6797,0,0,0,0
01,AIN,283,OYONNAX,10762,7423,7229,0,0,2367,0,0,0,0,3366,0,0,1496,0
02,AISNE,168,CHATEAU-THIERRY,8965,6492,6273,0,0,2854,0,0,0,0,0,2764,0,655,0
02,AISNE,173,CHAUNY,8073,5781,5526,0,0,0,0,3370,0,0,0,2156,0,0,0
02,AISNE,381,HIRSON,7093,4705,4438,0,0,3158,0,0,0,0,0,1280,0,0,0
02,AISNE,408,LAON,15964,11410,10785,0,0,6223,0,0,0,0,4562,0,0,0,0
02,AISNE,691,SAINT-QUENTIN,36429,26656,25311,0,0,14057,0,0,0,0,0,11254,0,0,0
02,AISNE,722,SOISSONS,16256,11673,11200,0,0,0,0,5541,0,0,0,5659,0,0,0
02,AISNE,738,TERGNIER,10281,7537,7217,0,0,0,0,5627,0,0,0,1590,0,0,0
03,ALLIER,95,CUSSET,9375,7116,6574,0,0,0,4114,0,0,0,0,2460,0,0,0
03,ALLIER,185,MONTLUCON,28890,19796,18380,0,11501,0,0,0,0,0,0,6879,0,0,0
03,ALLIER,190,MOULINS,14611,10264,9840,0,0,4563,0,0,0,0,5277,0,0,0,0
03,ALLIER,310,VICHY,18037,12065,11273,0,0,0,5227,0,0,0,0,6046,0,0,0
03,ALLIER,321,YZEURE,9538,7215,6862,0,0,4094,0,0,0,0,2768,0,0,0,0
04,ALPES-DE-HAUTE-PROVENCE,70,DIGNE-LES-BAINS,11026,7920,7416,0,0,4066,0,0,0,0,0,3350,0,0,0
04,ALPES-DE-HAUTE-PROVENCE,112,MANOSQUE,13204,9393,8695,0,0,0,4223,0,0,0,4472,0,0,0,0
05,HAUTES-ALPES,23,BRIANCON,6780,4619,4268,0,0,2227,0,0,0,0,2041,0,0,0,0
05,HAUTES-ALPES,61,GAP,22797,16528,15587,0,0,7921,0,0,0,0,7666,0,0,0,0
06,ALPES-MARITIMES,4,ANTIBES,45602,29392,26819,0,0,0,0,0,0,0,0,19756,0,7063,0
06,ALPES-MARITIMES,12,BEAUSOLEIL,8494,4930,4251,0,0,0,0,0,0,0,2824,0,0,1427,0
06,ALPES-MARITIMES,27,CAGNES-SUR-MER,25961,17596,15758,0,0,0,0,0,0,0,0,0,11028,4730,0
06,ALPES-MARITIMES,29,CANNES,46127,30560,27787,0,0,0,0,0,0,0,0,17684,0,10103,0
06,ALPES-MARITIMES,30,LE CANNET,26790,16730,15207,0,0,0,0,0,7830,0,0,0,0,7377,0
06,ALPES-MARITIMES,33,CARROS,6106,3917,3348,0,0,0,0,0,0,0,0,0,1991,1357,0
06,ALPES-MARITIMES,69,GRASSE,23911,16285,14903,0,0,0,0,0,8766,0,0,0,0,6137,0
06,ALPES-MARITIMES,79,MANDELIEU-LA-NAPOULE,11815,8526,7773,0,0,0,0,0,0,0,0,5059,0,2714,0
06,ALPES-MARITIMES,83,MENTON,19191,13010,11448,0,0,0,0,0,0,0,7776,0,0,3672,0
06,ALPES-MARITIMES,85,MOUGINS,10001,6560,5949,0,0,0,0,0,2989,0,0,0,0,2960,0
06,ALPES-MARITIMES,88,NICE,225711,128027,109414,0,0,0,0,0,0,0,32969,39723,0,36722,0
06,ALPES-MARITIMES,104,ROQUEBRUNE-CAP-MARTIN,8470,5102,4458,0,0,0,0,0,0,0,3056,0,0,1402,0
06,ALPES-MARITIMES,123,SAINT-LAURENT-DU-VAR,16797,11386,10163,0,0,0,0,0,0,0,0,0,6878,3285,0
06,ALPES-MARITIMES,149,LA TRINITE,6813,3912,3004,0,0,0,0,0,0,0,0,1667,0,1337,0
06,ALPES-MARITIMES,152,VALBONNE,5289,3384,2857,0,0,0,0,0,0,0,0,2182,0,675,0
06,ALPES-MARITIMES,155,VALLAURIS,15154,9564,8321,0,0,0,0,0,0,0,0,5345,0,2976,0
06,ALPES-MARITIMES,157,VENCE,10065,6805,5897,0,0,0,0,0,0,0,0,0,4483,1414,0
06,ALPES-MARITIMES,161,VILLENEUVE-LOUBET,7947,5374,4890,0,0,0,0,0,0,0,0,0,3852,1038,0
07,ARDECHE,10,ANNONAY,11833,7884,7449,0,0,0,4401,0,0,0,3048,0,0,0,0
07,ARDECHE,19,AUBENAS,7198,5425,5152,0,0,2573,0,0,0,0,2579,0,0,0,0
