Code département,Département,Numéro de circoncription,Circonscription,Code commune,Commune,Population,Inscrits,Abstention,Votants,Blancs et nuls,Exprimés,Parti communiste,Divers gauche,Parti socialiste,Les verts ,Parti des radical de gauche,Pole Républicain ,Regionalistes ,Divers ,Union pour la démocratie française,Union pour la majorité présidentielle,Divers droite ,Rassemblement pour la France,Front national 
1,AIN,1,AMBERIEU-EN-BUGEY,53,Bourg-en-Bresse,40666,22438,9461,12977,306,12671,0,0,5896,0,0,0,0,0,0,6775,0,0,0
1,AIN,1,AMBERIEU-EN-BUGEY,289,Péronnas,5534,3977,1565,2412,65,2347,0,0,1045,0,0,0,0,0,0,1302,0,0,0
1,AIN,1,AMBERIEU-EN-BUGEY,344,Saint-Denis-lès-Bourg,4921,3695,1343,2352,64,2288,0,0,973,0,0,0,0,0,0,1315,0,0,0
1,AIN,1,AMBERIEU-EN-BUGEY,451,Viriat,5288,3971,1552,2419,63,2356,0,0,860,0,0,0,0,0,0,1496,0,0,0
1,AIN,2,BAGE-LE-CHATEL,4,Ambérieu-en-Bugey,11436,7297,3678,3619,165,3454,0,0,1582,0,0,0,0,0,0,1872,0,0,0
1,AIN,2,BAGE-LE-CHATEL,14,Arbent,3610,1746,832,914,52,862,0,0,312,0,0,0,0,0,0,550,0,0,0
1,AIN,2,BAGE-LE-CHATEL,142,Dagneux,3757,2408,1161,1247,46,1201,0,0,455,0,0,0,0,0,0,746,0,0,0
1,AIN,2,BAGE-LE-CHATEL,202,Lagnieu,5882,4110,1875,2235,95,2140,0,0,816,0,0,0,0,0,0,1324,0,0,0
1,AIN,2,BAGE-LE-CHATEL,244,Meximieux,6840,4054,1945,2109,80,2029,0,0,837,0,0,0,0,0,0,1192,0,0,0
1,AIN,2,BAGE-LE-CHATEL,262,Montluel,6454,3487,1586,1901,86,1815,0,0,721,0,0,0,0,0,0,1094,0,0,0
1,AIN,2,BAGE-LE-CHATEL,265,Montréal-la-Cluse,3652,1883,974,909,45,864,0,0,330,0,0,0,0,0,0,534,0,0,0
1,AIN,2,BAGE-LE-CHATEL,269,Nantua,3902,1599,804,795,59,736,0,0,273,0,0,0,0,0,0,463,0,0,0
1,AIN,2,BAGE-LE-CHATEL,283,Oyonnax,24162,11268,5707,5561,245,5316,0,0,1913,0,0,0,0,0,0,3403,0,0,0
1,AIN,3,BELLEGARDE-SUR-VALSERINE,33,Bellegarde-sur-Valserine,10846,5761,2754,3007,181,2826,0,0,0,0,1394,0,0,0,0,1432,0,0,0
1,AIN,3,BELLEGARDE-SUR-VALSERINE,34,Belley,8004,4561,1914,2647,123,2524,0,0,0,0,983,0,0,0,0,1541,0,0,0
1,AIN,3,BELLEGARDE-SUR-VALSERINE,143,Divonne-les-Bains,6349,4240,2131,2109,58,2051,0,0,0,0,537,0,0,0,0,1514,0,0,0
1,AIN,3,BELLEGARDE-SUR-VALSERINE,160,Ferney-Voltaire,7083,3254,1607,1647,41,1606,0,0,0,0,632,0,0,0,0,974,0,0,0
1,AIN,3,BELLEGARDE-SUR-VALSERINE,173,Gex,7733,3739,1884,1855,71,1784,0,0,0,0,661,0,0,0,0,1123,0,0,0
1,AIN,3,BELLEGARDE-SUR-VALSERINE,185,Hauteville-Lompnes,3662,2177,937,1240,60,1180,0,0,0,0,492,0,0,0,0,688,0,0,0
1,AIN,3,BELLEGARDE-SUR-VALSERINE,313,Prévessin-Moëns,4261,2287,1063,1224,29,1195,0,0,0,0,447,0,0,0,0,748,0,0,0
1,AIN,3,BELLEGARDE-SUR-VALSERINE,354,Saint-Genis-Pouilly,6704,3025,1523,1502,50,1452,0,0,0,0,661,0,0,0,0,791,0,0,0
1,AIN,3,BELLEGARDE-SUR-VALSERINE,419,Thoiry,4063,2142,1021,1121,41,1080,0,0,0,0,439,0,0,0,0,641,0,0,0
1,AIN,4,BELLEY,43,Beynost,3530,2608,1098,1510,30,1480,0,0,574,0,0,0,0,0,0,906,0,0,0
1,AIN,4,BELLEY,93,Châtillon-sur-Chalaronne,4137,2776,1193,1583,50,1533,0,0,525,0,0,0,0,0,0,1008,0,0,0
1,AIN,4,BELLEY,194,Jassans-Riottier,5338,3254,1507,1747,58,1689,0,0,689,0,0,0,0,0,0,1000,0,0,0
1,AIN,4,BELLEY,249,Miribel,8539,5639,2559,3080,83,2997,0,0,1461,0,0,0,0,0,0,1536,0,0,0
1,AIN,4,BELLEY,322,Reyrieux,3683,2546,985,1561,59,1502,0,0,511,0,0,0,0,0,0,991,0,0,0
1,AIN,4,BELLEY,376,Saint-Maurice-de-Beynost,4020,2251,1165,1086,23,1063,0,0,531,0,0,0,0,0,0,532,0,0,0
1,AIN,4,BELLEY,427,Trévoux,6392,3643,1524,2119,57,2062,0,0,958,0,0,0,0,0,0,1104,0,0,0
1,AIN,4,BELLEY,443,Villars-les-Dombes,4190,2622,1098,1524,36,1488,0,0,633,0,0,0,0,0,0,855,0,0,0
